Video file,Organ,Finding,Classification,labels
cc65bfe5-f536-4a63-920d-ec34a7225ca7,Upper GI,retroflex-stomach,anatomical-landmarks,15
934a1c1e-f4f7-48e2-ba6c-fdda6874423e,Upper GI,esophagitis-b-d,pathological-findings,8
5bd6ce3c-2813-4882-9421-34217e0e9123,Lower GI,cecum,anatomical-landmarks,4
6404ac1f-d3f7-4301-94e4-0cf2ea77445a,Lower GI,bbps-2-3,quality-of-mucosal-views,3
7ba37006-4f2c-40dd-ad2d-756c2c395f08,Lower GI,bbps-2-3,quality-of-mucosal-views,3
0b9e3600-3a4a-483f-8480-c1a126e903d6,Lower GI,bbps-2-3,quality-of-mucosal-views,3
08e11734-8281-4822-88e7-b03bfe10511d,Upper GI,esophagitis-a,pathological-findings,7
e7c945cc-5dad-4414-9980-2e85c8768733,Lower GI,polyps,pathological-findings,12
c8cb3c53-8eb3-4075-871a-170764da9940,Upper GI,pylorus,anatomical-landmarks,13
25dfc378-6577-405b-86f5-92bb33fb56db,Upper GI,esophagitis-a,pathological-findings,7
70bb4a03-e43b-41a5-8124-6f5d19db6603,Lower GI,bbps-2-3,quality-of-mucosal-views,3
4ab06311-421e-4ec2-9486-0cb637e98287,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
9bc52174-ff47-4bae-aed4-1a63092b2c19,Upper GI,esophagitis-a,pathological-findings,7
dd114729-d836-4da2-a56e-6137c33606e9,Upper GI,pylorus,anatomical-landmarks,13
b840ca3b-5dc3-4c74-adb1-70d0dad1bb29,Lower GI,ulcerative-colitis-grade-0-1,pathological-findings,16
8c667b50-6ae1-4fc4-922f-951db1f933ab,Lower GI,bbps-0-1,quality-of-mucosal-views,2
fceeac1e-ce70-424e-b612-984a545fddee,Upper GI,retroflex-stomach,anatomical-landmarks,15
751672b2-6487-4bc5-8941-8d6ee4b714f5,Lower GI,bbps-2-3,quality-of-mucosal-views,3
5a1d478a-b94f-4569-b170-4c931b7aa00c,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
154f70df-85a0-4e9c-9708-2a25b3ca2a12,Lower GI,bbps-2-3,quality-of-mucosal-views,3
95a96a24-c097-4d79-b62b-cb86c3840537,Upper GI,barretts-short-segment,pathological-findings,1
e898297f-6dad-4248-a0e6-5cc56d09e180,Upper GI,pylorus,anatomical-landmarks,13
05134628-0ac0-40e9-aa76-7263678ea0f5,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
2465ef58-603c-494d-a473-3a84d0e31405,Upper GI,pylorus,anatomical-landmarks,13
7d8a389d-73c9-4a8d-9aaa-08db5338da5a,Lower GI,bbps-2-3,quality-of-mucosal-views,3
da869b3d-2a82-417c-bcb8-3c7b985aea0e,Lower GI,dyed-resection-margins,therapeutic-interventions,6
8b87f75b-94db-478d-988a-78ada8365069,Lower GI,polyps,pathological-findings,12
62509a57-d985-4ade-86f4-d2a95d2a1476,Upper GI,pylorus,anatomical-landmarks,13
0f7972a6-a91f-48fb-9485-87c1a71a3647,Lower GI,retroflex-rectum,anatomical-landmarks,14
29cdf346-6c21-4e19-801c-7a5a608528ec,Upper GI,pylorus,anatomical-landmarks,13
6f1c4143-a234-4980-abaf-c97eb9584c36,Lower GI,impacted-stool,quality-of-mucosal-views,11
ac58d468-e192-4769-a790-c1d5cffea8ca,Lower GI,bbps-2-3,quality-of-mucosal-views,3
651fac8d-0da8-49a7-8d37-6e24bb2d4c5d,Lower GI,ulcerative-colitis-grade-2,pathological-findings,19
d9b77dd1-e99c-48e9-bf6a-eb807169fd5f,Upper GI,pylorus,anatomical-landmarks,13
c3f48c87-d894-4b17-a1a0-f3f0048102d3,Lower GI,dyed-resection-margins,therapeutic-interventions,6
1680f75e-6b87-4c67-81cc-8ed957f72a07,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
c2e95125-5a5a-44d5-bcdf-6fb620fdc5ca,Upper GI,z-line,anatomical-landmarks,22
c6f7a570-6e21-4c1b-bae3-ff3b4d3da920,Upper GI,z-line,anatomical-landmarks,22
9f1432bb-bbd5-41d5-9c85-70cf5bb2a206,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
bc9f6200-d996-4b53-96c8-983001f8c9ac,Lower GI,retroflex-rectum,anatomical-landmarks,14
8d90673b-969d-4e2d-977e-07066e057df1,Upper GI,pylorus,anatomical-landmarks,13
954b6d02-1398-482a-a660-008dc560480f,Lower GI,cecum,anatomical-landmarks,4
e7f47929-6426-484c-94bf-59ca10f7edb6,Upper GI,esophagitis-a,pathological-findings,7
82264eb2-4a7e-4731-a5ed-36192954dc4a,Upper GI,z-line,anatomical-landmarks,22
97d37526-e46f-4feb-b070-25d9ac72d72a,Lower GI,ulcerative-colitis-grade-3,pathological-findings,21
1da6c35a-0956-4c39-bc78-401eba4a69d3,Lower GI,cecum,anatomical-landmarks,4
0d928302-52da-40cc-ba05-c5d782f12847,Upper GI,esophagitis-b-d,pathological-findings,8
1931b5cc-d7c0-4fe6-9ae5-9420467124c6,Upper GI,retroflex-stomach,anatomical-landmarks,15
39eb886b-9e24-4ca7-89e1-47de92840096,Lower GI,polyps,pathological-findings,12
82b1d210-65bd-4380-985f-19cb4a4f35c4,Upper GI,retroflex-stomach,anatomical-landmarks,15
e13c69ad-e164-42f5-b1e0-46f8cc4b8e2d,Upper GI,esophagitis-a,pathological-findings,7
eb81d266-57eb-41a9-8cf3-d60560a1c532,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
d06ffd4c-8564-480d-8a4b-7d50025fdf22,Upper GI,retroflex-stomach,anatomical-landmarks,15
2f216f79-2f37-46d7-b78e-c17d3923b243,Upper GI,pylorus,anatomical-landmarks,13
4d6f3292-fbef-4242-a8b1-39cd71330145,Upper GI,z-line,anatomical-landmarks,22
804c5c03-89ce-4118-b38c-c18ea3a94a64,Lower GI,impacted-stool,quality-of-mucosal-views,11
ea234c89-4300-47de-beef-78e4b0915d2d,Upper GI,pylorus,anatomical-landmarks,13
d3a97030-8916-41ca-b6df-6cd7303c6b1f,Upper GI,retroflex-stomach,anatomical-landmarks,15
61274099-f298-49e3-a6b9-c04405ab6d0d,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
c9928352-2b3a-4eca-96ce-9157eb7401ca,Upper GI,retroflex-stomach,anatomical-landmarks,15
55641d15-b6a9-4131-942b-283107dd1901,Lower GI,cecum,anatomical-landmarks,4
f1d4a9b0-b59b-439d-a0d8-47a130154f4b,Lower GI,polyps,pathological-findings,12
5305fd0d-749f-4ad8-8da2-725b7ade6eaa,Lower GI,bbps-2-3,quality-of-mucosal-views,3
7a3f402a-6ce1-4aec-8538-03d41b4e156b,Upper GI,retroflex-stomach,anatomical-landmarks,15
118c0600-ff37-4e9a-b728-9f363362e343,Upper GI,retroflex-stomach,anatomical-landmarks,15
4865b709-3f79-405c-9409-8b18d56ceccc,Lower GI,dyed-resection-margins,therapeutic-interventions,6
38e407ce-82c3-441a-9a87-9d2a6760382c,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
22be7fb2-1558-47f0-bf6a-026f83c959db,Lower GI,bbps-0-1,quality-of-mucosal-views,2
144f5a33-c54f-4a6e-aae2-fd2daf7bf732,Upper GI,pylorus,anatomical-landmarks,13
7ab30031-6d04-4a53-af01-8b7261d73123,Lower GI,polyps,pathological-findings,12
24a27072-6cf9-4c55-a2fc-bed5ab817bee,Upper GI,pylorus,anatomical-landmarks,13
1e6485ac-e310-4a17-acb0-8ac8ff5dc59c,Lower GI,dyed-resection-margins,therapeutic-interventions,6
e7e441e4-8772-4866-bbfb-1f7c2612ee59,Upper GI,esophagitis-a,pathological-findings,7
13651a54-a98b-4ec9-8fc1-d4abc7fef028,Upper GI,retroflex-stomach,anatomical-landmarks,15
09daa204-e5cc-4e7b-9b26-07130363e10b,Lower GI,dyed-resection-margins,therapeutic-interventions,6
ddf31f6f-5203-4cff-858d-bf60b6e717a8,Lower GI,dyed-resection-margins,therapeutic-interventions,6
eb72a65b-f8cd-42d2-8359-ac6229080e5e,Upper GI,pylorus,anatomical-landmarks,13
f909b974-aa0e-404f-b342-e0df2940d338,Lower GI,bbps-2-3,quality-of-mucosal-views,3
5375d007-7673-433f-83ab-5b4fc3e6695f,Lower GI,cecum,anatomical-landmarks,4
19e0df52-2e0a-4dd0-87df-93225c678374,Lower GI,cecum,anatomical-landmarks,4
fd25e12c-9db9-4405-ba80-f543502103a9,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
653dcb48-d8d7-4cd9-8a4d-542585575c71,Lower GI,bbps-2-3,quality-of-mucosal-views,3
1e70d20f-6e1a-4fff-a884-abca49d8d400,Upper GI,retroflex-stomach,anatomical-landmarks,15
585b3fa0-fc72-4091-a540-41b5ccb05888,Lower GI,cecum,anatomical-landmarks,4
2c06c7f0-27d1-40d4-b49d-093479e32f18,Lower GI,bbps-2-3,quality-of-mucosal-views,3
e5aab79c-68e8-4b4c-914d-05fd095c3876,Upper GI,pylorus,anatomical-landmarks,13
1fb7d29f-4714-460c-8c7f-ed26aeee7d4a,Lower GI,dyed-lifted-polyps,therapeutic-interventions,5
